Dir,Time_Arr,Time_Mov,Time_Out,TIQ,TIS
NORTH,25.364080,25.364080,66.646315,0.000000,41.282235
SOUTH,51.222954,66.646315,107.315586,15.423360,56.092631
NORTH,34.472528,107.315586,150.496377,72.843057,116.023849
NORTH,39.951747,109.899481,153.080273,69.947734,113.128526
NORTH,89.142464,112.826527,156.007318,23.684062,66.864854
NORTH,111.856296,113.391882,156.572674,1.535586,44.716378
SOUTH,121.189895,156.572674,201.116422,35.382779,79.926527
SOUTH,132.573634,159.964302,204.508051,27.390668,71.934416
NORTH,193.904651,204.508051,248.661620,10.603400,54.756969
NORTH,210.444939,248.661620,289.950569,38.216680,79.505630
SOUTH,278.320647,289.950569,333.348042,11.629922,55.027395
NORTH,261.570416,333.348042,377.756746,71.777626,116.186330
NORTH,270.633115,336.191467,380.600171,65.558352,109.967056
NORTH,297.468191,338.919593,383.328297,41.451402,85.860105
NORTH,377.343966,383.328297,427.594326,5.984331,50.250361
SOUTH,393.597411,427.594326,472.443107,33.996915,78.845696
SOUTH,423.514504,430.383001,475.231782,6.868497,51.717277
SOUTH,442.547995,475.231782,519.641249,32.683787,77.093253
NORTH,511.468952,519.641249,561.915488,8.172297,50.446536
NORTH,520.615863,561.915488,602.099362,41.299625,81.483499
NORTH,567.388649,602.099362,646.834919,34.710713,79.446270
NORTH,576.389195,604.926734,649.662291,28.537539,73.273096
NORTH,601.809059,608.253053,652.988610,6.443995,51.179552
SOUTH,686.458401,686.458401,729.338433,0.000000,42.880032
NORTH,699.988210,729.338433,772.241964,29.350223,72.253754
SOUTH,707.367309,772.241964,816.739782,64.874655,109.372473
SOUTH,740.450240,775.258032,819.755850,34.807791,79.305609
SOUTH,762.146910,778.617067,823.114885,16.470157,60.967975
NORTH,796.101479,823.114885,865.830880,27.013406,69.729400
SOUTH,861.894607,865.830880,907.254415,3.936272,45.359808
NORTH,847.923280,907.254415,949.823616,59.331135,101.900336
SOUTH,925.868526,949.823616,991.239065,23.955090,65.370539
SOUTH,942.082844,952.741720,994.157168,10.658876,52.074325
NORTH,913.759167,994.157168,1036.501600,80.398001,122.742433
NORTH,927.456761,997.252340,1039.596772,69.795579,112.140011
NORTH,958.060716,1000.340157,1042.684589,42.279441,84.623873
SOUTH,963.118584,1042.684589,1084.381113,79.566006,121.262529
SOUTH,979.376005,1046.000532,1087.697056,66.624527,108.321051
SOUTH,1008.917429,1049.236608,1090.933132,40.319178,82.015702
SOUTH,1072.678549,1090.933132,1133.640124,18.254583,60.961574
NORTH,1104.522459,1133.640124,1177.223302,29.117664,72.700842
SOUTH,1125.287332,1177.223302,1222.154788,51.935970,96.867456
SOUTH,1133.283175,1180.012983,1224.944469,46.729808,91.661294
SOUTH,1171.553665,1183.290687,1228.222173,11.737021,56.668507
NORTH,1134.472189,1228.222173,1269.917781,93.749983,135.445592
NORTH,1154.304873,1231.048721,1272.744329,76.743848,118.439456
NORTH,1161.212390,1234.330269,1276.025878,73.117879,114.813488
NORTH,1168.214604,1237.123430,1278.819038,68.908826,110.604434
NORTH,1185.937082,1239.178958,1280.874567,53.241876,94.937484
NORTH,1231.850138,1239.866663,1281.562271,8.016524,49.712133
SOUTH,1199.500708,1281.562271,1326.300575,82.061563,126.799867
SOUTH,1255.696684,1285.046188,1329.784491,29.349504,74.087807
SOUTH,1261.083530,1287.651599,1332.389902,26.568069,71.306373
