Dir,Time_Arr,Time_Mov,Time_Out,TIQ,TIS
NORTH,14.109337,14.109337,56.201480,0.000000,42.092144
NORTH,36.502994,56.201480,92.155486,19.698487,55.652492
NORTH,41.400695,60.649740,96.603745,19.249046,55.203051
SOUTH,122.602843,122.602843,159.613839,0.000000,37.010996
NORTH,170.285542,170.285542,208.495384,0.000000,38.209842
SOUTH,180.916520,208.495384,245.368234,27.578864,64.451715
SOUTH,263.581357,263.581357,302.052179,0.000000,38.470822
SOUTH,275.735339,302.052179,341.411552,26.316840,65.676213
SOUTH,313.476303,341.411552,380.537354,27.935250,67.061051
SOUTH,315.741296,345.713378,384.839180,29.972082,69.097884
NORTH,349.565253,384.839180,422.569336,35.273927,73.004084
SOUTH,370.574655,422.569336,462.619065,51.994681,92.044409
SOUTH,423.837208,462.619065,497.668742,38.781857,73.831534
SOUTH,460.798973,467.089165,502.138842,6.290191,41.339869
NORTH,466.999803,502.138842,547.084047,35.139039,80.084244
NORTH,471.084379,506.257344,551.202550,35.172965,80.118171
SOUTH,529.065403,551.202550,596.063530,22.137147,66.998127
SOUTH,534.739999,555.551125,600.412105,20.811126,65.672106
SOUTH,538.554052,559.240742,604.101722,20.686690,65.547670
NORTH,532.741297,604.101722,645.300674,71.360425,112.559377
NORTH,540.420990,607.787655,648.986607,67.366665,108.565617
SOUTH,603.214900,648.986607,687.277702,45.771707,84.062802
NORTH,668.628135,687.277702,725.933701,18.649568,57.305566
NORTH,683.694993,691.222555,729.878554,7.527562,46.183561
SOUTH,698.459328,729.878554,771.744395,31.419226,73.285067
SOUTH,711.084561,734.010692,775.876533,22.926132,64.791973
NORTH,699.777666,775.876533,811.213197,76.098868,111.435531
SOUTH,746.457433,811.213197,855.695600,64.755763,109.238166
SOUTH,794.892052,815.159443,859.641846,20.267391,64.749795
SOUTH,797.134097,819.529344,864.011748,22.395247,66.877651
SOUTH,812.033365,820.770980,865.253383,8.737615,53.220018
NORTH,797.835833,865.253383,909.639868,67.417551,111.804035
SOUTH,845.706702,909.639868,950.884254,63.933166,105.177553
SOUTH,896.194595,914.083484,955.327870,17.888888,59.133275
NORTH,892.530527,955.327870,990.846528,62.797343,98.316001
SOUTH,940.078378,990.846528,1035.459418,50.768150,95.381040
NORTH,1016.042292,1035.459418,1079.701765,19.417126,63.659472
NORTH,1022.763248,1039.769282,1084.011629,17.006034,61.248381
SOUTH,993.327663,1084.011629,1122.723063,90.683966,129.395400
SOUTH,1062.621950,1087.941389,1126.652822,25.319439,64.030872
SOUTH,1079.271851,1092.272456,1130.983889,13.000604,51.712038
SOUTH,1088.863990,1093.152473,1131.863907,4.288483,42.999917
NORTH,1081.359890,1131.863907,1167.987908,50.504017,86.628018
SOUTH,1106.590599,1167.987908,1205.025130,61.397309,98.434531
SOUTH,1134.064463,1172.082741,1209.119963,38.018277,75.055500
NORTH,1225.686045,1225.686045,1269.044650,0.000000,43.358605
NORTH,1241.855303,1269.044650,1309.394724,27.189347,67.539421
NORTH,1267.039663,1273.418984,1313.769058,6.379321,46.729394
NORTH,1320.919238,1320.919238,1360.751715,0.000000,39.832477
NORTH,1338.679295,1360.751715,1398.957518,22.072421,60.278223
NORTH,1382.369309,1398.957518,1437.467133,16.588209,55.097824
SOUTH,1432.952981,1437.467133,1479.591990,4.514153,46.639009
NORTH,1435.962630,1479.591990,1521.234801,43.629360,85.272171
NORTH,1479.044471,1483.748092,1525.390902,4.703621,46.346432
SOUTH,1446.507932,1525.390902,1567.552371,78.882971,121.044439
SOUTH,1462.326718,1529.485141,1571.646609,67.158422,109.319891
NORTH,1505.160547,1571.646609,1608.363249,66.486062,103.202702
NORTH,1534.750566,1575.665082,1612.381722,40.914516,77.631156
NORTH,1568.576875,1580.002671,1616.719310,11.425796,48.142435
SOUTH,1583.479260,1616.719310,1660.615475,33.240050,77.136215
NORTH,1587.051582,1660.615475,1702.094126,73.563894,115.042545
NORTH,1598.441445,1664.793575,1706.272226,66.352131,107.830781
NORTH,1710.461311,1710.461311,1753.063963,0.000000,42.602652
SOUTH,1713.618754,1753.063963,1796.385797,39.445209,82.767043
SOUTH,1717.776782,1756.793902,1800.115736,39.017120,82.338954
SOUTH,1724.575798,1760.649000,1803.970834,36.073202,79.395036
SOUTH,1755.001192,1763.029141,1806.350975,8.027949,51.349783
SOUTH,1761.625547,1765.191346,1808.513180,3.565799,46.887634
NORTH,1750.921020,1808.513180,1848.985028,57.592160,98.064008
NORTH,1792.510294,1812.982916,1853.454763,20.472622,60.944469
SOUTH,1840.415518,1853.454763,1897.132413,13.039246,56.716896
SOUTH,1846.309470,1857.698336,1901.375986,11.388866,55.066516
SOUTH,1898.318177,1901.375986,1945.452060,3.057809,47.133883
SOUTH,1936.912666,1945.452060,1984.931687,8.539395,48.019021
SOUTH,1949.238716,1984.931687,2021.053289,35.692971,71.814573
NORTH,2009.241474,2021.053289,2058.933643,11.811815,49.692169
SOUTH,2012.896126,2058.933643,2099.354855,46.037517,86.458729
SOUTH,2028.186692,2062.893342,2103.314555,34.706650,75.127863
SOUTH,2031.796188,2066.618214,2107.039427,34.822026,75.243238
NORTH,2041.825864,2107.039427,2144.804401,65.213562,102.978537
NORTH,2080.328182,2110.653915,2148.418890,30.325733,68.090708
SOUTH,2175.205820,2175.205820,2219.449445,0.000000,44.243626
NORTH,2191.331966,2219.449445,2262.375329,28.117479,71.043363
SOUTH,2248.815561,2262.375329,2304.221606,13.559768,55.406045
NORTH,2232.072673,2304.221606,2348.253735,72.148933,116.181062
NORTH,2246.166401,2307.761332,2351.793461,61.594931,105.627060
NORTH,2247.884528,2311.558955,2355.591084,63.674427,107.706556
NORTH,2280.609057,2315.988786,2360.020915,35.379729,79.411858
NORTH,2315.850151,2316.027967,2360.060096,0.177816,44.209945
SOUTH,2307.385479,2360.060096,2404.447575,52.674617,97.062096
NORTH,2334.318587,2404.447575,2446.573299,70.128988,112.254713
NORTH,2355.063959,2408.629896,2450.755620,53.565936,95.691661
NORTH,2377.013920,2412.157394,2454.283119,35.143475,77.269199
NORTH,2389.711105,2416.277574,2458.403299,26.566470,68.692194
NORTH,2421.020592,2458.403299,2498.157913,37.382707,77.137321
NORTH,2423.351649,2462.095367,2501.849981,38.743718,78.498332
NORTH,2432.577532,2465.845906,2505.600521,33.268374,73.022988
NORTH,2500.255330,2505.600521,2545.401558,5.345191,45.146228
SOUTH,2524.714270,2545.401558,2585.721359,20.687287,61.007089
SOUTH,2526.147950,2549.841361,2590.161162,23.693411,64.013213
SOUTH,2536.078367,2553.523170,2593.842972,17.444803,57.764605
NORTH,2529.358228,2593.842972,2631.005977,64.484744,101.647749
SOUTH,2584.819631,2631.005977,2671.593445,46.186346,86.773813
NORTH,2617.394621,2671.593445,2707.482310,54.198823,90.087689
NORTH,2619.469457,2675.325465,2711.214331,55.856008,91.744873
NORTH,2620.678471,2679.650756,2715.539621,58.972285,94.861151
NORTH,2653.927005,2683.864414,2719.753280,29.937410,65.826275
SOUTH,2632.223960,2719.753280,2763.403445,87.529320,131.179485
NORTH,2702.066978,2763.403445,2799.445904,61.336467,97.378926
NORTH,2730.238608,2767.698292,2803.740751,37.459684,73.502143
SOUTH,2722.434681,2803.740751,2839.170689,81.306070,116.736008
SOUTH,2745.746383,2807.338783,2842.768721,61.592400,97.022338
SOUTH,2858.792955,2858.792955,2901.046099,0.000000,42.253144
NORTH,2864.932084,2901.046099,2937.301404,36.114015,72.369320
NORTH,2870.747403,2904.734940,2940.990244,33.987537,70.242842
SOUTH,2859.293433,2940.990244,2982.000163,81.696811,122.706730
SOUTH,2914.899290,2944.871154,2985.881072,29.971863,70.981782
SOUTH,2934.071889,2948.485386,2989.495305,14.413497,55.423416
SOUTH,2934.444533,2952.576237,2993.586156,18.131704,59.141623
NORTH,2938.036602,2993.586156,3029.297863,55.549554,91.261261
NORTH,2945.351257,2997.208987,3032.920694,51.857730,87.569437
NORTH,2945.520610,3001.509803,3037.221510,55.989193,91.700899
NORTH,2962.959335,3005.262783,3040.974490,42.303448,78.015155
NORTH,3023.295518,3040.974490,3076.145654,17.678972,52.850136
SOUTH,3054.068405,3076.145654,3117.078327,22.077249,63.009922
SOUTH,3098.612912,3117.078327,3158.459979,18.465416,59.847067
SOUTH,3224.139167,3224.139167,3268.969869,0.000000,44.830702
NORTH,3254.945901,3268.969869,3307.488104,14.023968,52.542203
SOUTH,3314.087553,3314.087553,3357.568420,0.000000,43.480867
NORTH,3329.148401,3357.568420,3396.199466,28.420019,67.051064
NORTH,3342.727848,3361.133187,3399.764233,18.405339,57.036385
SOUTH,3369.445928,3399.764233,3436.956164,30.318305,67.510236
SOUTH,3371.796034,3403.371994,3440.563925,31.575961,68.767891
SOUTH,3388.946483,3407.612960,3444.804891,18.666477,55.858408
NORTH,3449.443287,3449.443287,3492.774043,0.000000,43.330756
SOUTH,3467.841507,3492.774043,3536.439007,24.932535,68.597500
NORTH,3469.509031,3536.439007,3578.406698,66.929976,108.897667
NORTH,3502.539565,3540.406496,3582.374186,37.866931,79.834621
SOUTH,3559.181570,3582.374186,3625.484204,23.192617,66.302634
SOUTH,3584.853406,3625.484204,3662.670373,40.630798,77.816966
SOUTH,3613.862090,3629.866377,3667.052545,16.004286,53.190455
NORTH,3626.061654,3667.052545,3702.246873,40.990891,76.185219
SOUTH,3637.517198,3702.246873,3739.403780,64.729675,101.886582
SOUTH,3685.902936,3705.783422,3742.940329,19.880486,57.037393
SOUTH,3694.635486,3709.967854,3747.124761,15.332368,52.489274
NORTH,3709.323466,3747.124761,3784.068046,37.801295,74.744581
SOUTH,3745.774748,3784.068046,3825.410506,38.293299,79.635759
SOUTH,3804.284808,3825.410506,3867.154709,21.125698,62.869901
SOUTH,3809.744783,3829.505274,3871.249476,19.760490,61.504693
SOUTH,3836.210101,3871.249476,3906.624725,35.039375,70.414623
SOUTH,3860.092722,3875.409011,3910.784259,15.316289,50.691537
SOUTH,3864.835593,3879.577431,3914.952679,14.741838,50.117086
SOUTH,3893.759866,3914.952679,3957.625639,21.192813,63.865773
NORTH,3936.047888,3957.625639,3993.071358,21.577751,57.023470
NORTH,3948.746198,3961.726011,3997.171729,12.979813,48.425531
NORTH,3956.898777,3965.501893,4000.947612,8.603116,44.048835
SOUTH,3934.796546,4000.947612,4038.919018,66.151066,104.122472
SOUTH,3997.251876,4005.190982,4043.162389,7.939106,45.910513
SOUTH,3999.909853,4009.069853,4047.041259,9.160000,47.131406
NORTH,3978.023210,4047.041259,4090.058356,69.018049,112.035146
NORTH,4007.783099,4051.138747,4094.155844,43.355648,86.372745
SOUTH,4025.059969,4094.155844,4138.984642,69.095875,113.924672
SOUTH,4029.549569,4098.272764,4143.101562,68.723195,113.551993
NORTH,4055.616299,4143.101562,4180.087267,87.485263,124.470968
NORTH,4080.342378,4147.255031,4184.240736,66.912654,103.898359
NORTH,4128.333778,4150.762560,4187.748265,22.428782,59.414487
NORTH,4150.453792,4151.564931,4188.550636,1.111139,38.096844
SOUTH,4176.913768,4188.550636,4224.875597,11.636868,47.961829
SOUTH,4202.894243,4224.875597,4260.127565,21.981354,57.233322
NORTH,4239.462165,4260.127565,4297.492984,20.665400,58.030819
SOUTH,4273.632373,4297.492984,4340.937396,23.860611,67.305023
SOUTH,4289.095581,4301.889061,4345.333473,12.793480,56.237892
NORTH,4268.912477,4345.333473,4381.345064,76.420996,112.432587
NORTH,4294.300254,4349.496846,4385.508437,55.196592,91.208183
SOUTH,4315.704209,4385.508437,4421.965747,69.804228,106.261538
SOUTH,4370.477135,4389.272181,4425.729491,18.795046,55.252356
NORTH,4390.948100,4425.729491,4462.399468,34.781392,71.451368
SOUTH,4467.278061,4467.278061,4503.755466,0.000000,36.477404
SOUTH,4487.410030,4503.755466,4544.214149,16.345436,56.804119
NORTH,4524.509641,4544.214149,4588.708650,19.704507,64.199009
NORTH,4525.333015,4547.857505,4592.352006,22.524490,67.018991
NORTH,4542.178639,4552.016847,4596.511348,9.838208,54.332709
SOUTH,4522.081805,4596.511348,4639.114109,74.429543,117.032304
SOUTH,4559.327940,4600.796158,4643.398920,41.468219,84.070980
SOUTH,4583.017396,4604.427059,4647.029820,21.409663,64.012424
NORTH,4641.645585,4647.029820,4687.976915,5.384235,46.331330
SOUTH,4661.171911,4687.976915,4725.592352,26.805004,64.420441
SOUTH,4680.368418,4692.204121,4729.819557,11.835702,49.451139
NORTH,4648.386778,4729.819557,4767.686962,81.432779,119.300184
NORTH,4649.688227,4733.853679,4771.721084,84.165453,122.032857
SOUTH,4692.563414,4771.721084,4810.095312,79.157670,117.531898
SOUTH,4703.227836,4775.599648,4813.973875,72.371811,110.746039
SOUTH,4774.379874,4778.792696,4817.166924,4.412822,42.787050
SOUTH,4819.372150,4819.372150,4859.169374,0.000000,39.797224
SOUTH,4902.971500,4902.971500,4943.733448,0.000000,40.761947
NORTH,5013.608822,5013.608822,5050.458947,0.000000,36.850125
SOUTH,5028.803644,5050.458947,5091.713480,21.655303,62.909837
SOUTH,5042.117649,5054.798886,5096.053419,12.681237,53.935770
NORTH,5020.543860,5096.053419,5138.977930,75.509559,118.434069
NORTH,5039.837347,5099.954243,5142.878754,60.116896,103.041406
SOUTH,5076.957552,5142.878754,5181.261947,65.921202,104.304395
SOUTH,5078.106569,5146.448605,5184.831798,68.342036,106.725230
SOUTH,5129.854953,5150.635178,5189.018371,20.780225,59.163419
NORTH,5100.058299,5189.018371,5231.310309,88.960072,131.252010
NORTH,5106.437813,5193.137274,5235.429212,86.699461,128.991398
NORTH,5111.341796,5196.879225,5239.171163,85.537430,127.829367
SOUTH,5236.532680,5239.171163,5281.669194,2.638484,45.136515
NORTH,5250.345708,5281.669194,5317.756329,31.323487,67.410621
NORTH,5250.418746,5286.057426,5322.144561,35.638680,71.725814
