Dir,Time_Arr,Time_Mov,Time_Out,TIQ,TIS
SOUTH,17.310918,17.310918,58.241275,0.000000,40.930357
SOUTH,84.808126,84.808126,129.612960,0.000000,44.804834
NORTH,128.060130,129.612960,174.588392,1.552829,46.528262
SOUTH,98.022412,174.588392,217.668778,76.565981,119.646366
SOUTH,116.461238,177.862922,220.943307,61.401684,104.482069
NORTH,136.010366,220.943307,261.042950,84.932941,125.032584
NORTH,182.931139,223.949915,264.049558,41.018776,81.118419
SOUTH,186.462740,264.049558,306.964533,77.586818,120.501793
SOUTH,313.408891,313.408891,356.857787,0.000000,43.448897
NORTH,321.048965,356.857787,398.083258,35.808823,77.034293
SOUTH,405.543301,405.543301,446.935098,0.000000,41.391797
SOUTH,441.833845,446.935098,488.611480,5.101253,46.777635
NORTH,485.618518,488.611480,530.649811,2.992962,45.031293
SOUTH,483.400473,530.649811,572.470545,47.249338,89.070072
SOUTH,524.725900,533.295842,575.116576,8.569941,50.390676
SOUTH,566.023438,575.116576,617.470774,9.093138,51.447336
NORTH,603.101902,617.470774,658.987544,14.368872,55.885642
SOUTH,649.769586,658.987544,703.210695,9.217958,53.441109
SOUTH,656.282713,661.808385,706.031536,5.525672,49.748823
SOUTH,660.487699,663.908656,708.131807,3.420957,47.644108
NORTH,626.153344,708.131807,750.024870,81.978463,123.871526
NORTH,666.865310,710.979535,752.872598,44.114225,86.007288
NORTH,691.597315,714.247808,756.140871,22.650493,64.543557
SOUTH,750.500150,756.140871,799.636003,5.640721,49.135853
NORTH,766.415094,799.636003,843.553359,33.220910,77.138265
NORTH,780.209108,802.299338,846.216694,22.090230,66.007586
SOUTH,769.188927,846.216694,889.006696,77.027767,119.817769
SOUTH,785.411593,849.550643,892.340645,64.139050,106.929052
NORTH,831.530113,892.340645,937.152651,60.810532,105.622538
NORTH,872.764955,895.196522,940.008528,22.431567,67.243573
SOUTH,879.430797,940.008528,982.956463,60.577730,103.525666
SOUTH,895.254016,943.040130,985.988065,47.786113,90.734049
SOUTH,929.590437,945.783545,988.731481,16.193108,59.141043
SOUTH,936.192292,949.121095,992.069031,12.928803,55.876738
NORTH,899.052358,992.069031,1032.486371,93.016673,133.434013
NORTH,948.706402,994.910899,1035.328239,46.204497,86.621837
NORTH,976.791445,998.286444,1038.703785,21.495000,61.912340
SOUTH,966.025498,1038.703785,1081.260473,72.678287,115.234975
SOUTH,966.179854,1042.007551,1084.564239,75.827697,118.384385
SOUTH,1046.639544,1084.564239,1128.277884,37.924695,81.638340
SOUTH,1070.883473,1087.328926,1131.042571,16.445454,60.159098
SOUTH,1079.579856,1090.543578,1134.257223,10.963722,54.677367
