Dir,TimeArr,TimeMov,TimeOut,TIQ,TIS
NORTH,65.465061,65.465061,105.762517,0.000000,40.297456
SOUTH,75.440895,105.762517,148.818366,30.321622,73.377472
NORTH,125.699182,148.818366,193.804178,23.119185,68.104996
SOUTH,106.750896,193.804178,237.705550,87.053282,130.954654
SOUTH,114.222720,196.929366,240.830737,82.706645,126.608017
SOUTH,133.609873,199.878161,243.779533,66.268288,110.169660
SOUTH,148.220063,203.089423,246.990794,54.869359,98.770731
SOUTH,201.133643,204.515437,248.416809,3.381795,47.283166
NORTH,216.798590,248.416809,292.703603,31.618219,75.905014
NORTH,274.254592,292.703603,333.780362,18.449011,59.525770
SOUTH,309.802971,333.780362,376.752104,23.977391,66.949133
NORTH,300.015705,376.752104,419.152355,76.736399,119.136650
NORTH,321.762146,379.432453,421.832705,57.670307,100.070559
NORTH,393.771725,421.832705,463.735610,28.060980,69.963886
NORTH,405.871754,425.036287,466.939192,19.164533,61.067439
SOUTH,448.277374,466.939192,506.994708,18.661818,58.717334
NORTH,470.733064,506.994708,549.244130,36.261645,78.511067
SOUTH,492.720915,549.244130,592.009651,56.523215,99.288736
SOUTH,501.895626,552.526795,595.292315,50.631169,93.396690
NORTH,508.959399,595.292315,637.262944,86.332916,128.303545
NORTH,537.650725,598.634471,640.605099,60.983746,102.954375
SOUTH,561.635484,640.605099,683.964007,78.969616,122.328523
SOUTH,576.808752,643.944417,687.303325,67.135665,110.494572
NORTH,676.417298,687.303325,729.563604,10.886026,53.146305
NORTH,729.132733,729.563604,773.184284,0.430871,44.051551
NORTH,764.052622,773.184284,814.915784,9.131662,50.863163
SOUTH,811.802807,814.915784,855.019165,3.112977,43.216358
NORTH,813.499103,855.019165,897.215399,41.520062,83.716296
NORTH,823.792447,857.803768,900.000002,34.011321,76.207555
SOUTH,834.381065,900.000002,944.653557,65.618937,110.272493
SOUTH,893.403418,903.264656,947.918211,9.861238,54.514793
SOUTH,917.681540,947.918211,989.211762,30.236671,71.530222
SOUTH,922.471176,950.563446,991.856996,28.092269,69.385820
